order,incl
4295,1
5020,1
3732,1
1851,1
4296,1
803,1
4297,1
2227,1
4294,1
802,1
4220,1
222,1
1274,1
4337,1
4359,1
3167,1
321,1
200,1
3199,1
2167,1
1730,1
1951,2
760,2
4211,2
1814,2
3255,3
1360,3
4106,4
3626,4
560,4
2762,4
1952,4
3345,4
3346,4
740,4
4262,5
3348,5
1994,6
1865,6
1130,7
2462,8
1981,9
2304,9
2303,9
2537,9
2693,9
4387,9
1971,9
1907,9
1539,9
4205,9
3533,10
4010,11
2484,11
4011,12
4725,12
359,12
4670,12
2692,12
4482,12
3515,13
4139,13
2112,14
2688,14
2730,14
2483,14
2480,14
1381,14
2464,14
2671,14
2715,14
4450,15
3528,15
2536,16
1534,17
2535,17
5005,17
3460,18
3757,18
822,18
263,19
4091,19
3270,19
2208,19
697,20
698,20
2830,21
1125,21
722,21
1303,21
2763,21
3164,22
3287,22
1148,23
467,24
221,25
2726,25
563,26
3421,26
4210,26
2695,26
2209,26
3335,27
425,27
1645,27
1543,28
2681,28
3609,29
4281,29
3878,30
1250,31
4159,31
3871,31
3694,31
2993,31
4260,31
1908,31
2680,31
3267,31
3505,31
3333,32
269,32
1009,32
1696,32
2571,32
4386,32
1824,32
943,32
1172,32
3562,32
1932,33
1096,33
4852,33
2481,33
1886,33
3915,33
533,34
2465,34
559,34
504,34
2640,34
3394,34
4195,34
2672,34
4892,34
2210,34
1973,35
1547,35
3513,35
1535,35
634,35
4919,35
2691,35
1891,35
2211,35
4595,36
1094,36
1111,36
3789,36
1894,36
4641,36
2030,36
457,36
4694,36
3797,36
2773,36
1603,36
1205,36
215,36
3827,36
3288,36
447,36
4628,36
2113,36
4857,36
2426,36
1776,36
1541,36
4056,36
972,36
1455,36
3527,36
2649,36
2820,36
3620,36
4692,36
4107,36
4782,36
1289,36
244,36
1304,36
3179,36
1779,36
4046,36
562,36
4975,36
4773,36
627,36
2309,36
2824,37
2529,37
3790,37
1972,37
667,37
1003,37
3514,37
1004,37
4532,37
309,37
4161,37
220,37
4626,37
3427,37
2789,37
2749,37
1680,37
1228,37
4949,37
3466,37
820,37
3697,37
3137,37
1532,37
4747,37
1202,37
690,37
438,37
606,37
3109,37
940,37
466,37
2638,37
5007,37
2222,37
2164,37
2574,37
1858,37
1550,37
3589,37
2010,37
1097,37
3006,37
869,37
2792,37
2482,37
1288,37
2952,37
3158,37
1731,37
552,37
4174,37
928,37
2110,37
3511,37
1462,37
4853,37
1765,37
3135,37
3350,37
3523,37
477,37
4451,37
1536,37
3483,37
2780,37
3846,37
216,37
4194,37
1887,37
416,37
557,37
4083,37
4729,37
2876,37
4316,37
939,37
2662,37
2718,37
4897,37
1484,37
3676,37
4112,37
442,37
4540,37
1711,37
1154,37
3471,37
166,37
4803,37
2972,37
3973,37
5010,37
2611,37
685,37
455,37
4574,37
2705,37
3211,37
4693,37
2466,37
4489,37
3212,37
1223,37
501,37
2018,37
3399,37
3581,37
2435,37
241,37
3500,37
282,37
2682,37
4261,37
4596,37
2069,37
4579,37
1643,37
5006,37
4217,37
746,37
2974,37
3816,37
4593,37
1537,37
4449,37
4162,37
1970,37
2461,37
242,37
904,37
1153,37
1526,37
1481,37
3092,37
577,37
1852,37
152,37
468,37
4553,37
2690,37
561,37
1790,37
4586,37
2664,37
3744,37
4074,37
651,37
103,37
2883,37
3947,37
2264,37
4821,37
141,37
4057,37
4835,37
4278,37
3078,37
2741,37
2739,37
4594,37
821,37
2622,37
765,37
933,37
5024,37
4120,37
3955,37
1597,37
5009,37
2786,37
214,37
3258,37
581,37
3128,37
3506,37
3129,37
2500,37
4079,37
3488,37
4285,37
5030,37
1193,37
1881,37
2865,37
2553,37
395,37
386,37
1788,37
948,37
2995,37
857,37
3281,37
668,37
1305,37
1675,37
270,37
2866,37
1134,37
1816,37
3798,37
3536,37
3590,37
4077,37
3149,37
3702,37
4775,37
3610,37
3417,37
1225,37
1407,37
1658,37
2378,37
1662,37
1960,37
4696,37
2463,37
1912,37
4935,37
121,37
4160,37
283,37
3244,37
4263,37
3023,37
4053,37
4842,37
4414,37
4192,37
1859,37
2023,37
4809,37
462,37
4209,37
3152,37
4684,37
3779,37
2633,37
1693,37
2021,37
1801,37
2223,37
3130,37
4325,37
2310,37
1999,37
2838,37
3210,37
1105,37
3251,37
2042,37
1152,37
3937,37
3334,37
3532,37
3285,37
4311,37
1548,37
