trial,bal_a,bal_alpha,bal_b,fex_ngram_max,fex_split_ta,mdl_C,mdl_class_weight,loss
1041,0.5916152000270504,0.4824326876282127,0.32803260090990666,3,0,0.41183923073375966,1535.5744093287233,0.10901338989235933
1133,0.5848893371217736,0.40851282116456505,0.06535402720332917,3,0,0.46411152331646544,1469.172574172501,0.10942183345322391
785,0.6686550093748957,0.5137792851651916,0.5475214276370152,3,0,0.37172743496635624,1446.7306799047917,0.10951677006405001
1018,0.6357516408288557,0.4944419206630264,0.35256283400747424,3,0,0.4054312352669908,1501.1550147224089,0.10953657188836452
1334,0.6633674564181461,0.3409510497112245,0.3654592070337932,3,0,0.25683666565207375,1613.6803854424081,0.10956536459232953
83,0.7425829805629606,0.2302804248160791,0.38593466256849734,3,0,0.2745325188168958,1755.373305504599,0.10956555010944032
1315,0.5973205981355111,0.2939247754017892,0.08990092284962162,3,0,0.25418151746103607,1379.1562326478713,0.10956876611300936
614,0.5888490530639136,0.5764201847669713,0.7693387527739904,3,0,0.25591254060787594,1625.4722458593446,0.10961365738143596
1028,0.6320019291664255,0.47701630793465494,0.28611186568705305,3,0,0.399962404206144,1521.7556686510984,0.10963717464318909
566,0.5848965698988289,0.6506643386634353,0.5903352080873999,3,0,0.23813420276871705,1472.8050308328504,0.10964022036436762
1194,0.5699592089930644,0.5111591352565488,0.39821226963631307,3,0,0.2662795898514532,1404.3921107711494,0.10964932400132843
1148,0.6091968349224676,0.37079505212259306,0.07595289163937352,3,0,0.26401855491196385,1383.5573392237302,0.1096943475927257
579,0.5823371609220475,0.4869218165285357,0.6117715602006234,3,0,0.2350371339836094,1266.6975010086899,0.1097064107906249
1065,0.5623870441227887,0.533394203009584,0.3160172505484675,3,0,0.42230228666795416,1701.6980856253674,0.10970845932548809
1278,0.706483086788562,0.23878206907026434,0.3465237712569505,3,0,0.39100140152118085,1696.3817043157562,0.10974253603164176
1312,0.6119475102871249,0.5527622623731141,0.021835577046649957,3,0,0.2613856765521414,1319.501303912548,0.10975591700735883
458,0.6089508873650796,0.9427020168513122,0.8373992470658403,3,0,0.37508423096399945,1543.7768820829779,0.10978991606229671
1160,0.6220381407221869,0.41839169942531923,0.1044770472844757,3,0,0.2872821913189654,1500.2431320271899,0.10980019557508319
379,0.6559341235496664,0.35739393115076423,0.5415220263773979,3,0,0.5435968922007764,1279.953855894613,0.10981241229208556
1245,0.5850294717853429,0.48869631013261033,0.3119657055796587,3,0,0.40924904137818136,1476.2148643189475,0.10981343077643776
934,0.8043601482958184,0.7123043213425169,0.532905674597663,3,0,0.41851207821791925,785.6558071597392,0.10981687713508999
408,0.6819841705957601,0.9582761057640471,0.5898957098241568,3,0,0.4396300826817588,1384.4362500974742,0.10982631038210006
